legislator_name,term,period,meetingno,temp_meeting_no,billn,correct_legislator_name
李乙廷　林滄敏,7,1,19,0,30,李乙廷　　林滄敏
羅明才　陳　杰,7,1,19,0,30,羅明才　　陳　杰
孔文吉　吳清池,7,1,19,0,30,孔文吉　　吳清池
林明溱　李慶安,7,1,19,0,30,林明溱　　李慶安
邱鏡淳　張慶忠,7,1,19,0,30,邱鏡淳　　張慶忠
黃義交　蔡錦隆,7,1,19,0,30,黃義交　　蔡錦隆
蕭景田　吳志揚,7,1,19,0,30,蕭景田　　吳志揚
費鴻泰　李慶華,7,1,19,0,30,費鴻泰　　李慶華
賴士葆　鄭汝芬,7,1,19,0,30,賴士葆　　鄭汝芬
鍾紹和　洪秀柱,7,1,19,0,30,鍾紹和　　洪秀柱
黃志雄　林正二,7,1,19,0,30,黃志雄　　林正二
李俊毅　黃淑英,7,1,19,0,30,李俊毅　　黃淑英
管碧玲　賴清德,7,1,19,0,30,管碧玲　　賴清德
陳啟昱　余政道,7,1,19,0,30,陳啟昱　　余政道
黃偉哲　陳節如,7,1,19,0,30,黃偉哲　　陳節如
余　天　林淑芬,7,1,19,0,30,余　天　　林淑芬
林鴻池　楊仁福,7,3,12,0,5,林鴻池　　楊仁福
林鴻池　楊仁福,7,3,12,0,13,林鴻池　　楊仁福
趙麗雲　盧嘉辰,7,3,12,0,13,趙麗雲　　盧嘉辰
帥化民　邱　毅,7,3,12,0,13,帥化民　　邱　毅
陳淑慧　蔣乃辛,7,5,16,0,105,陳淑慧　　蔣乃辛
潘孟安　李桐豪,8,1,13,0,2,潘孟安　　李桐豪
陳其邁　魏明谷,8,1,13,0,2,陳其邁　　魏明谷
吳秉叡　李昆澤,8,1,13,0,2,吳秉叡　　李昆澤
陳唐山　蔡其昌,8,1,13,0,2,陳唐山　　蔡其昌
許添財　姚文智,8,1,13,0,2,許添財　　姚文智
邱志偉　段宜康,8,1,13,0,2,邱志偉　　段宜康
尤美女　趙天麟,8,1,13,0,2,尤美女　　趙天麟
林德福　楊仁福,7,8,14,0,48,林德福　　楊仁福
簡東明　羅明才,7,8,14,0,48,簡東明　　羅明才
鄭金玲　孔文吉,7,8,14,0,48,鄭金玲　　孔文吉
蔡正元　羅淑蕾,7,8,14,0,48,蔡正元　　羅淑蕾
費鴻泰　江義雄,7,8,14,0,48,費鴻泰　　江義雄
李復興　潘維剛,7,8,14,0,48,李復興　　潘維剛
李明星　陳淑慧,7,8,14,0,48,李明星　　陳淑慧
廖國棟 Sufin．Siluko,9,1,13,0,1,廖國棟Sufin．Siluko
Kolas Yotaka　　     洪宗熠,9,4,8,0,7,Kolas Yotaka　　洪宗熠
Kolas Yotaka　　　　　洪宗熠,9,4,10,0,8,Kolas Yotaka　　洪宗熠
Kolas Yotaka　　      洪宗熠,9,4,10,0,9,Kolas Yotaka　　洪宗熠
<U+00A0><U+00A0><U+00A0><U+00A0> <U+00A0>洪宗熠,9,4,10,0,9,Kolas Yotaka　　洪宗熠
<U+00A0><U+00A0><U+00A0><U+00A0> 洪宗熠,9,4,8,0,7,Kolas Yotaka　　洪宗熠
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　林昶佐,9,1,11,0,1,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　林昶佐
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　林昶佐,9,1,11,0,3,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　林昶佐
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal 　鍾孔炤,9,1,11,0,5,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　鍾孔炤
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　洪慈庸,9,1,9,0,3,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　洪慈庸
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 洪慈庸,9,2,11,0,1,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　洪慈庸
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 洪慈庸,9,2,11,0,2,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　洪慈庸
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　林昶佐,9,2,11,0,4,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　林昶佐
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 徐永明,9,2,11,0,6,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　徐永明
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 徐永明,9,2,11,0,7,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　徐永明
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 洪慈庸,9,2,7,0,1,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　洪慈庸
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　 洪慈庸,9,2,7,0,2,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　洪慈庸
高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　林昶佐,9,1,15,0,5,高潞‧以用‧巴魕剌Kawlo．Iyun．Pacidal　　林昶佐
